data,horario_brt,tipo,plataformas,arte,legenda_referencia,observacao
2026-06-01,10:00,feed,"Instagram e Facebook",feed/01-abertura-feed.png,"legendas.md#01/06/2026 - Abertura","Abertura da campanha"
2026-06-01,18:00,story,"Instagram e Facebook",story/01-abertura-story.png,"roteiro-campanha.md#01/06 - Abertura","Story manual com enquete"
2026-06-03,10:00,feed,"Instagram e Facebook",feed/02-cama-casal-feed.png,"legendas.md#03/06/2026 - Cama nova para o casal","Post de produto/beneficio"
2026-06-03,18:00,story,"Instagram e Facebook",story/02-cama-casal-story.png,"roteiro-campanha.md#03/06 - Cama nova para o casal","Story manual com pergunta"
2026-06-05,10:00,feed,"Instagram e Facebook",feed/03-colchao-velho-feed.png,"legendas.md#05/06/2026 - Troca do colchao velho","Dor clara: acordar cansado"
2026-06-05,18:00,story,"Instagram e Facebook",story/03-colchao-velho-story.png,"roteiro-campanha.md#05/06 - Troca do colchao velho","Story manual"
2026-06-08,10:00,feed,"Instagram e Facebook",feed/04-box-bau-feed.png,"legendas.md#08/06/2026 - Box bau","Produto complementar"
2026-06-08,18:00,story,"Instagram e Facebook",story/04-box-bau-story.png,"roteiro-campanha.md#08/06 - Box bau","Story manual com pergunta"
2026-06-10,10:00,feed,"Instagram e Facebook",feed/05-ainda-da-tempo-feed.png,"legendas.md#10/06/2026 - Ainda da tempo","Reta final"
2026-06-10,18:00,story,"Instagram e Facebook",story/05-ainda-da-tempo-story.png,"roteiro-campanha.md#10/06 - Ainda da tempo","Story manual com contagem regressiva"
2026-06-12,09:00,feed,"Instagram e Facebook",feed/06-dia-dos-namorados-feed.png,"legendas.md#12/06/2026 - Dia dos Namorados","Post do dia"
2026-06-12,17:00,story,"Instagram e Facebook",story/06-dia-dos-namorados-story.png,"roteiro-campanha.md#12/06 - Dia dos Namorados","Story manual"
2026-06-13,10:00,feed,"Instagram e Facebook",feed/07-ultimo-dia-feed.png,"legendas.md#13/06/2026 - Ultimo dia","Ultima chamada"
2026-06-13,16:00,story,"Instagram e Facebook",story/07-ultimo-dia-story.png,"roteiro-campanha.md#13/06 - Ultimo dia","Story manual de urgencia"
